Software: ,GCTS CATS Advanced (WIN-CATS-ADV) [G2],Version: ,3.04,,,,,
Project: ,BMD-MORSHED,,,,,,,
Sample: ,DIC_TRIAL_S3_071626,,,,,,,
Test: ,Dynamic Modulus,,,,,,,
Specimen: ,S33BP_50,,,,,,,
Number: ,001,,,,,,,
Description: ,_,,,,,,,
Container ID: ,_,,,,,,,
Tested By: ,_MORSHED,,,,,,,
Average Diameter: ,150,(mm),,,,,,
Average Height (H): ,62.335,(mm),,,,,,
Axial Gauge Length (GL): ,101.6,(mm),,,,,,
Temperature: ,-10,(deg C),,,,,,
Confining Pressure: ,0,(kPa),,,,,,
AC Binder: ,Other,,,,,,,
,A: ,0,,,,,,
,VTS: ,0,,,,,,
,|Gb*|: ,0,(MPa),,,,,
,Phase Angle: ,0,(deg),,,,,
Starting Date: , 7/20/26,,,,,,,
Starting Time: ,10:06:49,,,,,,,
Pump: ,High Pressure,,,,,,,
Test Results: ,Stopped by User,,,,,,,
,Type: ,Universal,,,,,,
,,Duration: ,22.3,(sec),,,,
,,,,Max,Min,Range,Initial,End
7.474,10.978,6.179,1354,465.551,,,,
7.499,11.013,6.202,1358,465.053,,,,
7.524,10.919,6.222,1347,467.454,,,,
7.549,10.92,6.244,1347,465.741,,,,
7.574,10.854,6.263,1339,465.926,,,,
7.599,10.879,6.286,1342,465.122,,,,
7.624,10.753,6.303,1326,466.24,,,,
7.649,10.781,6.327,1330,467.277,,,,
7.674,10.689,6.346,1318,468.025,,,,
7.699,10.709,6.369,1321,468.993,,,,
7.724,10.632,6.388,1311,468.433,,,,
7.749,10.632,6.411,1311,470.411,,,,
7.774,10.54,6.43,1300,466.996,,,,
7.799,10.552,6.452,1301,469.966,,,,
7.824,10.471,6.471,1292,469.593,,,,
7.849,10.488,6.494,1294,470.375,,,,
7.874,10.395,6.513,1282,471.151,,,,
7.899,10.422,6.536,1286,470.849,,,,
7.924,10.33,6.555,1274,470.355,,,,
7.949,10.351,6.577,1277,470.728,,,,
7.974,10.255,6.596,1265,469.668,,,,
7.999,10.27,6.619,1267,471.076,,,,
8.024,10.179,6.638,1256,469.196,,,,
8.049,10.193,6.661,1257,469.643,,,,
8.074,10.11,6.679,1247,470.053,,,,
8.099,10.142,6.702,1251,470.296,,,,
8.124,10.052,6.721,1240,471.486,,,,
8.149,10.066,6.744,1242,471.185,,,,
8.174,9.986,6.763,1232,469.704,,,,
8.199,9.982,6.785,1231,468.956,,,,
8.224,9.924,6.805,1224,470.39,,,,
8.249,9.913,6.827,1223,469.348,,,,
8.274,9.841,6.847,1214,467.921,,,,
8.299,9.849,6.869,1215,469.317,,,,
8.324,9.78,6.888,1206,467.644,,,,
8.349,9.799,6.911,1209,469.116,,,,
8.374,9.705,6.93,1197,467.796,,,,
8.399,9.717,6.953,1199,467.044,,,,
8.424,9.628,6.971,1188,467.544,,,,
8.449,9.644,6.993,1190,466.378,,,,
8.474,9.57,7.014,1180,464.385,,,,
8.499,9.563,7.035,1180,466.469,,,,
8.524,9.508,7.055,1173,464.221,,,,
8.549,9.506,7.077,1173,465.15,,,,
8.574,9.425,7.097,1163,463.071,,,,
8.599,9.459,7.119,1167,463.352,,,,
8.624,9.362,7.138,1155,460.998,,,,
8.649,9.369,7.16,1156,462.416,,,,
8.674,9.313,7.18,1149,461.415,,,,
8.699,9.303,7.202,1147,460.455,,,,
8.724,9.249,7.222,1141,460.695,,,,
8.749,9.226,7.244,1138,460.157,,,,
8.774,9.168,7.264,1131,458.752,,,,
8.799,9.156,7.286,1129,458.867,,,,
8.824,9.092,7.305,1121,459.439,,,,
8.849,9.122,7.328,1125,458.564,,,,
8.874,9.012,7.346,1112,458.56,,,,
8.899,9.033,7.369,1114,456.723,,,,
8.924,8.965,7.389,1106,454.788,,,,
8.949,8.952,7.41,1104,455.037,,,,
8.974,8.903,7.43,1098,452.1,,,,
8.999,8.882,7.452,1096,455.825,,,,
9.024,8.83,7.472,1089,453.786,,,,
9.049,8.814,7.494,1087,455.298,,,,
9.074,8.767,7.514,1081,453.621,,,,
9.099,8.761,7.537,1081,453.993,,,,
9.124,8.679,7.555,1071,451.463,,,,
9.149,8.693,7.578,1072,451.291,,,,
9.174,8.614,7.597,1063,450.714,,,,
9.199,8.634,7.62,1065,448.526,,,,
9.224,8.546,7.639,1054,449.619,,,,
9.249,8.539,7.661,1053,450.373,,,,
9.274,8.469,7.68,1045,450.301,,,,
9.299,8.479,7.703,1046,449.345,,,,
9.324,8.406,7.722,1037,449.51,,,,
9.349,8.404,7.745,1037,449.167,,,,
9.374,8.326,7.764,1027,449.565,,,,
9.399,8.329,7.786,1027,450.05,,,,
9.424,8.258,7.805,1019,448.673,,,,
9.449,8.261,7.827,1019,448.651,,,,
9.474,8.198,7.848,1011,448.661,,,,
9.499,8.181,7.869,1009,448.381,,,,
9.524,8.13,7.89,1003,448.103,,,,
9.549,8.119,7.911,1001,447.313,,,,
9.574,8.055,7.93,994,448.01,,,,
9.599,8.06,7.953,994,448.218,,,,
9.624,7.984,7.972,985,447.582,,,,
9.649,7.996,7.994,986,448.088,,,,
9.674,7.916,8.014,976,447.75,,,,
9.699,7.899,8.036,974,447.671,,,,
9.724,7.84,8.055,967,448.048,,,,
9.749,7.832,8.078,966,449.055,,,,
9.774,7.772,8.097,959,447.981,,,,
9.799,7.757,8.12,957,449.763,,,,
9.824,7.686,8.138,948,449.335,,,,
9.848,7.691,8.161,949,449.592,,,,
9.873,7.609,8.18,939,449.341,,,,
9.898,7.601,8.202,938,450.656,,,,
9.923,7.535,8.222,929,449.748,,,,
9.948,7.523,8.244,928,449.552,,,,
9.973,7.466,8.264,921,448.537,,,,
9.998,7.45,8.286,919,449.876,,,,
10.023,7.39,8.305,912,451.052,,,,
10.048,7.377,8.327,910,452.659,,,,
